Name,WAR
Jeff Abbott\abbotje01,-0.2
Kurt Abbott\abbotku01,0.3
Bobby Abreu*\abreubo01,0.4
Juan Acevedo\aceveju01,-0.1
Mark Acre\acrema01,0
Terry Adams\adamste01,0
Willie Adams\adamswi02,0
Joel Adamson*\adamsjo02,0
Rick Aguilera\aguilri01,0
Jose Alberro\alberjo01,0
Scott Aldred*\aldresc01,0
Manny Alexander\alexama02,1
Antonio Alfonseca\alfonan01,0
Edgardo Alfonzo\alfoned01,6.2
Luis Alicea#\alicelu01,2.9
Jermaine Allensworth\allenje01,-1
Carlos Almanzar\almanca01,0
Roberto Alomar#\alomaro01,3.4
Sandy Alomar\alomasa02,3.9
Moises Alou\aloumo01,3.5
Wilson Alvarez*\alvarwi01,0.1
Rich Amaral\amarari01,-0.5
Ruben Amaro#\amaroru02,0.2
Brady Anderson*\anderbr01,3.7
Brian Anderson#\anderbr02,0
Garret Anderson*\anderga01,3.3
Shane Andrews\andresh01,0.1
Luis Andujar\andujlu01,0
Eric Anthony*\anthoer01,0
Kevin Appier\appieke01,-0.1
Alex Arias\ariasal01,-0.2
George Arias\ariasge01,0
Rene Arocha\arochre01,0
Andy Ashby\ashbyan01,-0.3
Billy Ashley\ashlebi01,-0.9
Paul Assenmacher*\assenpa01,0
Pedro Astacio\astacpe01,-0.2
Rich Aurilia\aurilri01,0.9
Brad Ausmus\ausmubr01,2.3
Bruce Aven\avenbr01,-0.1
Steve Avery*\averyst01,0
Bobby Ayala\ayalabo01,0
Manny Aybar\aybarma01,-0.1
Carlos Baerga#\baergca01,1.1
Jeff Bagwell\bagweje01,7.7
Scott Bailes*\bailesc01,0
Cory Bailey\baileco01,0.1
Roger Bailey\bailero01,0.3
Harold Baines*\baineha01,1.7
James Baldwin\baldwja01,0
Brian Banks#\banksbr01,-0.4
Willie Banks\bankswi01,0
Manuel Barrios\barrima01,0
Tony Barron\barroto01,1.8
Kimera Bartee#\barteki01,0
Rich Batchelor\batchri01,0
Jason Bates#\batesja01,-0.4
Miguel Batista\batismi01,-0.1
Tony Batista\batisto01,-0.4
Danny Bautista\bautida01,0.4
Jose Bautista\bautijo01,0
Trey Beamon*\beamotr01,-0.4
Rod Beck\beckro01,0
Rich Becker*\beckeri01,2.7
Robbie Beckett\beckero01,0
Matt Beech*\beechma01,0.1
Tim Belcher\belchti01,-0.1
Stan Belinda\belinst01,0.1
David Bell\bellda01,-0.9
Derek Bell\bellde01,2.7
Jay Bell\bellja01,5.4
Albert Belle\belleal01,1.5
Mark Bellhorn#\bellhma01,0.5
Rafael Belliard\bellira01,-0.1
Rigo Beltran*\beltrri01,0.1
Marvin Benard*\benarma01,-0.2
Alan Benes\benesal01,0.1
Andy Benes\benesan01,0.4
Armando Benitez\benitar01,0
Yamil Benitez\benitya01,0.4
Mike Benjamin\benjami01,0.2
Shayne Bennett\bennesh01,0.1
Jeff Berblinger\berblje01,-0.2
Jason Bere\bereja01,0
Sean Bergman\bergmse01,0.1
Geronimo Berroa\berroge01,1.5
Sean Berry\berryse01,0
Damon Berryhill#\berryda01,0.2
Mike Bertotti*\bertomi01,0
Brian Bevil\bevilbr01,0
Dante Bichette\bicheda01,0.2
Mike Bielecki\bielemi01,0
Steve Bieser*\biesest01,0
Craig Biggio\biggicr01,9.4
Willie Blair\blairwi01,-0.1
Henry Blanco\blanche01,0.1
Jeff Blauser\blausje01,4.8
Ron Blazier\blaziro01,0.1
Mike Blowers\blowemi01,0.6
Doug Bochtler\bochtdo01,0
Brian Boehringer#\boehrbr01,0
Tim Bogar\bogarti01,2.4
Wade Boggs*\boggswa01,2
Brian Bohanon*\bohanbr01,0
Barry Bonds*\bondsba01,8.2
Ricky Bones\bonesri01,0
Bobby Bonilla#\bonilbo01,2
Aaron Boone\booneaa01,-0.6
Bret Boone\boonebr01,-1.2
Josh Booty\bootyjo01,0.2
Pat Borders\bordepa01,0.3
Mike Bordick\bordimi01,0.9
Toby Borland\borlato02,0
Joe Borowski\borowjo01,0
Shawn Boskie\boskish01,0
Ricky Bottalico*\bottari01,0
Kent Bottenfield\botteke01,-0.1
Rafael Bournigal\bournra01,0.5
Mike Bovee\boveemi01,0
Shane Bowers\bowersh01,0
Darren Bragg*\braggda01,3.5
Mark Brandenburg\brandma01,0
Jeff Branson*\bransje01,-0.5
Jeff Brantley\brantje01,0
Brent Brede*\bredebr01,0.2
Billy Brewer*\brewebi01,0
Tilson Brito\britoti01,-0.4
Doug Brocail*\brocado01,0
Chris Brock\brockch01,-0.1
Rico Brogna*\brognri01,-2.5
Scott Brosius\brosisc01,-0.1
Adrian Brown#\brownad01,-0.9
Brant Brown*\brownbr01,-0.4
