Name,POS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
Jeff Abbott\abbotje01,897/D,89,244,33,68,12,41,3,9,0.279,0.298,0.492,0.79
Kurt Abbott\abbotku01,6/7495D,77,194,26,51,5,24,2,12,0.263,0.308,0.418,0.726
Kurt Abbott\abbotku01,6/7D59,35,123,17,33,2,9,2,10,0.268,0.326,0.39,0.716
Kurt Abbott\abbotku01,/46975D,42,71,9,18,3,15,0,2,0.254,0.276,0.465,0.741
Bobby Abreu*\abreubo01,*9,151,497,68,155,17,74,19,84,0.312,0.409,0.497,0.906
Juan Acevedo\aceveju01,1,48,17,2,3,0,0,0,1,0.176,0.222,0.235,0.458
Terry Adams\adamste01,1,61,1,0,0,0,0,0,0,0,0,0,0
Joel Adamson*\adamsjo02,/1,5,7,0,3,0,1,0,0,0.429,0.429,0.571,1
Benny Agbayani\agbaybe01,/987,11,15,1,2,0,0,0,1,0.133,0.188,0.133,0.321
Rick Aguilera\aguilri01,1,5,0,0,0,0,0,0,0,,,,
Scott Aldred*\aldresc01,1,2,0,0,0,0,0,0,0,,,,
Manny Alexander\alexama02,645/D7,108,264,34,60,5,25,4,18,0.227,0.278,0.33,0.608
Antonio Alfonseca\alfonan01,1,56,4,0,0,0,0,0,0,0,0,0,0
Edgardo Alfonzo\alfoned01,*5/6,144,557,94,155,17,78,8,65,0.278,0.355,0.427,0.782
Luis Alicea#\alicelu01,45D/7,101,259,51,71,6,33,4,37,0.274,0.372,0.425,0.796
Jermaine Allensworth\allenje01,*89/7,133,360,54,98,5,31,15,28,0.272,0.344,0.386,0.73
Jermaine Allensworth\allenje01,89/7,103,287,39,83,5,28,8,19,0.289,0.349,0.415,0.764
Jermaine Allensworth\allenje01,8,69,233,30,72,3,24,8,17,0.309,0.372,0.429,0.801
Jermaine Allensworth\allenje01,35643,30,73,15,15,0,3,7,9,0.205,0.326,0.274,0.6
Jermaine Allensworth\allenje01,32021,34,54,9,11,2,4,0,2,0.204,0.246,0.352,0.597
Roberto Alomar#\alomaro01,*4/D,147,588,86,166,14,56,18,59,0.282,0.347,0.418,0.765
Sandy Alomar\alomasa02,*2/D,117,409,45,96,6,44,0,18,0.235,0.27,0.352,0.622
Moises Alou\aloumo01,*7/8D,159,584,104,182,38,124,11,84,0.312,0.399,0.582,0.981
Gabe Alvarez\alvarga01,5/D,58,199,16,46,5,29,1,18,0.231,0.299,0.362,0.66
Rich Amaral\amarari01,74/93D85,73,134,25,37,1,4,11,13,0.276,0.342,0.343,0.686
Ruben Amaro#\amaroru02,35977,92,107,7,20,1,10,0,6,0.187,0.224,0.262,0.486
Brady Anderson*\anderbr01,*8/D,133,479,84,113,18,51,21,75,0.236,0.356,0.42,0.776
Brian Anderson#\anderbr02,1,33,66,6,7,0,0,1,3,0.106,0.145,0.106,0.251
Garret Anderson*\anderga01,*97,156,622,62,183,15,79,8,29,0.294,0.325,0.455,0.78
Marlon Anderson*\anderma02,/4,17,43,4,14,1,4,2,1,0.326,0.333,0.465,0.798
Matt Anderson\anderma01,1,2,0,0,0,0,0,0,0,,,,
Shane Andrews\andresh01,*5,150,492,48,117,25,69,1,58,0.238,0.314,0.455,0.769
Luis Andujar\andujlu01,/1,1,0,0,0,0,0,0,0,,,,
Alex Arias\ariasal01,19876,56,133,17,39,1,16,2,13,0.293,0.358,0.376,0.734
George Arias\ariasge01,42858,20,36,4,7,1,4,0,3,0.194,0.293,0.361,0.654
Rolando Arrojo\arrojro01,1,1,3,0,0,0,0,0,0,0,0,0,0
Andy Ashby\ashbyan01,1,32,72,1,8,0,2,0,2,0.111,0.135,0.139,0.274
Billy Ashley\ashlebi01,/D37,13,24,3,7,3,7,0,2,0.292,0.346,0.792,1.138
Paul Assenmacher*\assenpa01,1,5,0,0,0,0,0,0,0,,,,
Pedro Astacio\astacpe01,1,34,62,4,8,0,3,0,0,0.129,0.156,0.161,0.318
Rich Aurilia\aurilri01,*6,122,413,54,110,9,49,3,31,0.266,0.319,0.407,0.726
Brad Ausmus\ausmubr01,*2,128,412,62,111,6,45,10,53,0.269,0.356,0.357,0.713
Steve Avery*\averyst01,1,6,1,2,0,0,0,0,0,0,0,0,0
Bobby Ayala\ayalabo01,1,4,0,0,0,0,0,0,0,,,,
Manny Aybar\aybarma01,1,18,27,4,6,1,3,0,0,0.222,0.222,0.333,0.556
Carlos Baerga#\baergca01,*4,147,511,46,136,7,53,0,24,0.266,0.303,0.364,0.667
Jeff Bagwell\bagweje01,*3,147,540,124,164,34,111,19,109,0.304,0.424,0.557,0.981
Scott Bailes*\bailesc01,1,3,0,0,0,0,0,0,0,,,,
Cory Bailey\baileco01,/1,5,0,0,0,0,0,0,0,,,,
Harold Baines*\baineha01,D,104,293,40,88,9,57,0,32,0.3,0.369,0.451,0.819
Paul Bako*\bakopa01,2,96,305,23,83,3,30,1,23,0.272,0.319,0.348,0.667
James Baldwin\baldwja01,1,3,2,0,0,0,0,0,0,0,0,0,0
Jeff Ball\ballje01,/3,2,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5
Brian Banks#\banksbr01,/2357,24,24,3,7,1,5,0,4,0.292,0.393,0.5,0.893
Willie Banks\bankswi01,1,31,1,0,0,0,0,0,0,0,0,0,0
Willie Banks\bankswi01,1,31,1,0,0,0,0,0,0,0,0,0,0
Michael Barrett\barremi01,/52,8,23,3,7,1,2,0,3,0.304,0.407,0.522,0.929
Manuel Barrios\barrima01,/1,3,0,0,0,0,0,0,0,,,,
Manuel Barrios\barrima01,/1,2,0,0,0,0,0,0,0,,,,
Manuel Barrios\barrima01,/1,1,0,0,0,0,0,0,0,,,,
Jeff Barry#\barryje01,/897,15,34,4,6,0,2,0,2,0.176,0.216,0.206,0.422
Kimera Bartee#\barteki01,87D/9,57,98,20,19,3,15,9,6,0.194,0.238,0.357,0.595
Jason Bates#\batesja01,20546,53,74,10,14,0,3,0,8,0.189,0.268,0.23,0.498
Miguel Batista\batismi01,1,51,32,0,0,0,0,0,0,0,0,0,0
Tony Batista\batisto01,465,106,293,46,80,18,41,1,18,0.273,0.318,0.519,0.836
Justin Baughman\baughju01,4/6D,63,196,24,50,1,20,10,6,0.255,0.277,0.327,0.603
Danny Bautista\bautida01,7/98D,82,144,17,36,3,17,1,7,0.25,0.281,0.389,0.67
Trey Beamon*\beamotr01,D/79,28,42,4,11,0,2,1,5,0.262,0.34,0.357,0.698
Rod Beck\beckro01,1,77,1,0,0,0,0,0,0,0,0,0,0
Rich Becker*\beckeri01,987/D,128,213,37,42,6,21,5,43,0.197,0.337,0.324,0.661
Rich Becker*\beckeri01,789,49,100,15,19,3,10,3,21,0.19,0.331,0.36,0.691
Rich Becker*\beckeri01,98/7D,79,113,22,23,3,11,2,22,0.204,0.343,0.292,0.635
Matt Beech*\beechma01,1,20,33,2,5,0,2,0,0,0.152,0.152,0.152,0.303
Tim Belcher\belchti01,1,2,5,1,1,0,0,0,0,0.2,0.2,0.2,0.4
Stan Belinda\belinst01,1,40,1,0,0,0,0,0,0,0,0,0,0
David Bell\bellda01,*45/376,132,429,48,117,10,49,0,27,0.273,0.315,0.422,0.737
David Bell\bellda01,*45/376,128,420,48,115,10,49,0,27,0.274,0.317,0.424,0.741
David Bell\bellda01,/54,4,9,0,2,0,0,0,0,0.222,0.222,0.333,0.556
David Bell\bellda01,4/536,107,340,37,89,10,41,0,22,0.262,0.306,0.424,0.73
David Bell\bellda01,4/357,21,80,11,26,0,8,0,5,0.325,0.365,0.425,0.79
Derek Bell\bellde01,*9,156,630,111,198,22,108,13,51,0.314,0.364,0.49,0.855
Jay Bell\bellja01,*64,155,549,79,138,20,67,3,81,0.251,0.353,0.432,0.785
Albert Belle\belleal01,*7/D,163,609,113,200,49,152,6,81,0.328,0.399,0.655,1.055
Mark Bellhorn#\bellhma01,/5D64,11,12,1,1,0,1,2,3,0.083,0.313,0.167,0.479
Rafael Belliard\bellira01,/6,7,20,1,5,0,1,0,0,0.25,0.25,0.25,0.5
Ronnie Belliard\belliro01,/4,8,5,1,1,0,0,0,0,0.2,0.2,0.2,0.4
Carlos Beltran#\beltrca01,8,14,58,12,16,0,7,3,3,0.276,0.317,0.466,0.783
Rigo Beltran*\beltrri01,/1,7,1,0,0,0,0,0,0,0,0,0,0
Adrian Beltre\beltrad01,42861,77,195,18,42,7,22,3,14,0.215,0.278,0.369,0.648
Marvin Benard*\benarma01,97/8D,121,286,41,92,3,36,11,34,0.322,0.396,0.434,0.83
Andy Benes\benesan01,1,33,65,8,11,1,3,0,6,0.169,0.25,0.262,0.512
Armando Benitez\benitar01,1,6,0,0,0,0,0,0,0,,,,
Yamil Benitez\benitya01,79/D,91,206,17,41,9,30,2,14,0.199,0.262,0.374,0.636
Mike Benjamin\benjami01,4653/D,124,349,46,95,4,39,3,15,0.272,0.312,0.372,0.684
Gary Bennett\bennega01,/2,9,31,4,9,0,3,0,5,0.29,0.378,0.29,0.669
Shayne Bennett\bennesh01,1,58,6,0,0,0,0,0,1,0,0.143,0,0.143
Jason Bere\bereja01,1,10,14,0,0,0,0,0,1,0,0.067,0,0.067
Jason Bere\bereja01,1,1,0,0,0,0,0,0,0,,,,
Jason Bere\bereja01,/1,9,14,0,0,0,0,0,1,0,0.067,0,0.067
Dave Berg\bergda01,456,81,182,18,57,2,21,3,26,0.313,0.393,0.407,0.8
Sean Bergman\bergmse01,1,30,60,3,5,0,4,0,0,0.083,0.083,0.117,0.2
Geronimo Berroa\berroge01,D7/9,72,191,23,43,1,13,1,24,0.225,0.318,0.298,0.616
Geronimo Berroa\berroge01,7/D,20,65,6,13,0,3,1,7,0.2,0.278,0.277,0.555
Geronimo Berroa\berroge01,D/79,52,126,17,30,1,10,0,17,0.238,0.338,0.31,0.647
