Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO
Jim Abbott*\abbotji01,5,0,4.55,5,5,0,31.2,35,2,12,14
Paul Abbott\abbotpa01,3,1,4.01,4,4,0,24.2,24,2,10,22
Juan Acevedo\aceveju01,8,3,2.56,50,9,15,98.1,83,7,29,56
Terry Adams\adamste01,7,7,4.33,63,0,1,72.2,72,7,41,73
Joel Adamson*\adamsjo02,0,3,8.22,5,5,0,23,25,5,11,14
Rick Aguilera\aguilri01,4,9,4.24,68,0,38,74.1,75,8,15,57
Scott Aldred*\aldresc01,0,0,3.73,48,0,0,31.1,33,1,12,21
Antonio Alfonseca\alfonan01,4,6,4.08,58,0,8,70.2,75,10,33,46
Carlos Almanzar\almanca01,2,2,5.34,25,0,0,28.2,34,4,8,20
Wilson Alvarez*\alvarwi01,6,14,4.73,25,25,0,142.2,130,18,68,107
Brian Anderson*\anderbr02,12,13,4.33,32,32,0,208,221,39,24,95
Matt Anderson\anderma01,5,1,3.27,42,0,0,44,38,3,31,44
Luis Andujar\andujlu01,0,0,9.53,5,0,0,5.2,12,0,2,1
Kevin Appier\appieke01,1,2,7.8,3,3,0,15,21,3,5,9
Rolando Arrojo\arrojro01,14,12,3.56,32,32,0,202,195,21,65,152
Andy Ashby\ashbyan01,17,9,3.34,33,33,0,226.2,223,23,58,151
Paul Assenmacher*\assenpa01,2,5,3.26,69,0,3,47,54,5,19,43
Pedro Astacio\astacpe01,13,14,6.23,35,34,0,209.1,245,39,74,170
Steve Avery*\averyst01,10,7,5.02,34,23,0,123.2,128,14,64,57
Bobby Ayala\ayalabo01,1,10,7.29,62,0,8,75.1,100,9,26,68
Manny Aybar\aybarma01,6,6,5.98,20,14,0,81.1,90,6,42,57
Scott Bailes*\bailesc01,1,0,6.47,46,0,0,40.1,61,5,11,30
Cory Bailey\baileco01,0,0,2.7,5,0,0,3.1,2,1,1,2
James Baldwin\baldwja01,13,6,5.32,37,24,0,159,176,18,60,108
Willie Banks\bankswi01,2,3,4.81,42,0,1,58,54,6,37,40
