Name?,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Andy Abad\abadan01,28,us,L,L,6' 1",184,Aug 25 1972,1st,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,,
Mark Bellhorn\bellhma01,26,us,B,R,6' 1",195,Aug 23 1974,4,38,16,38,26,0,0,0,12,9,5,0,0,1,1,4,4,12,-0.8,,
Chad Bradford\bradfch01,26,us,R,R,6' 5",205,Sep 14 1974,4,35,0,2,35,35,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,
Eric Byrnes\byrneer01,25,us,R,R,6' 2",200,Feb 16 1976,2,19,8,19,12,0,0,0,0,0,0,8,2,5,15,5,3,5,0.4,,
Eric Chavez\chaveer01,23,us,L,R,6' 1",215,Dec 7 1977,4,151,147,151,149,0,0,1,0,149,1,0,0,0,0,1,3,0,6.0,$625000,
Ryan Christenson\chrisry01,27,us,R,R,5' 11",175,Mar 28 1974,4,7,0,7,4,0,0,0,0,0,0,1,1,3,5,1,2,3,-0.1,$267500,
Jermaine Dye\dyeje01,27,us,R,R,6' 4",210,Jan 28 1974,6,61,61,61,61,0,0,0,0,0,0,0,0,61,61,0,0,0,1.8,,
Sal Fasano\fasansa01,29,us,R,R,6' 2",220,Aug 10 1971,6,11,6,11,9,0,9,0,0,0,0,0,0,0,0,1,2,0,-0.4,$375000,
Mike Fyhrie\fyhrimi01,31,us,R,R,6' 2",190,Dec 9 1969,4,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Jeremy Giambi\giambje01,26,us,L,L,6' 0",185,Sep 30 1974,4,124,103,124,57,0,0,10,0,0,0,11,0,37,48,61,20,0,1.0,$282500,
Mark Guthrie\guthrma01,35,us,R,L,6' 4",192,Sep 22 1965,13,54,0,4,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$1800000,
