Name,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,WAR 2002,POS
Jorge Velandia\velanjo01,127,121,7,16,0,4,2,7,0.132,0.192,0.165,0.358,0.2,4
Damon Hollins\hollida02,8,15,1,3,0,2,0,0,0.2,0.2,0.2,0.4,0.2,7
Ryan Jackson\jacksry01,222,446,49,106,7,52,7,31,0.238,0.29,0.348,0.637,0.1,3
Todd Dunwoody\dunwoto01,293,909,98,213,11,81,13,51,0.234,0.278,0.35,0.628,-0.3,7
David Lamb\lambda01,62,129,19,29,1,13,0,11,0.225,0.286,0.302,0.588,-0.3,6
Adam Melhuse\melhuad01,64,95,8,17,1,12,1,9,0.179,0.245,0.253,0.498,0.7,2
Ryan Freel\freelry01,9,22,1,6,0,3,2,1,0.273,0.333,0.318,0.652,0.5,7
Matt Franco\francma01,468,638,74,163,13,72,1,86,0.255,0.344,0.359,0.703,1.2,3
Brian Banks\banksbr01,161,318,48,78,8,37,6,36,0.245,0.319,0.365,0.684,0.1,7
Kevin Witt\wittke01,34,68,8,13,3,10,0,4,0.191,0.233,0.338,0.571,-0.1,3
Greg Myers\myersgr01,908,2539,267,638,66,321,3,202,0.251,0.305,0.384,0.688,0.8,2
Mike Colangelo\colanmi01,51,93,10,23,2,8,0,9,0.247,0.32,0.409,0.729,-0.3,7
Ryan McGuire\mcguiry01,351,605,64,131,7,53,3,86,0.217,0.312,0.319,0.631,-0.5,3
Kevin Orie\orieke01,303,983,113,244,22,111,5,93,0.248,0.32,0.39,0.71,-0.1,5
Jorge Fabregas\fabrejo01,581,1672,140,413,20,189,4,106,0.247,0.29,0.32,0.61,-0.5,2
Hector Ortiz\ortizhe01,86,246,28,72,0,16,1,17,0.293,0.343,0.35,0.693,0.1,2
Izzy Molina\moliniz01,68,138,7,28,3,8,0,4,0.203,0.225,0.319,0.544,0,2
Mike Coolbaugh\coolbmi01,39,70,10,14,2,7,0,5,0.2,0.273,0.371,0.644,-0.2,5
Andy Abad\abadan01,1,1,0,0,0,0,0,0,0,0,0,0,-0.3,3
Andy Sheets\sheetan01,315,811,100,170,15,91,14,64,0.21,0.266,0.314,0.58,0.3,6
Walt McKeel\mckeewa01,6,3,0,0,0,0,0,0,0,0,0,0,-0.2,2
